,BTC/USDT,ETH/USDT,XRP/USDT,LTC/USDT,LINK/USDT,DOGE/USDT,TRX/USDT,BCH/USDT,XMR/USDT,EOS/USDT
1772,"(0, 1, 0)","(0, 1, 0)","(2, 1, 2)","(0, 1, 0)","(3, 0, 2)","(3, 0, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 0, 3)"
1773,"(0, 1, 0)","(0, 1, 0)","(2, 1, 2)","(0, 1, 0)","(1, 0, 3)","(3, 0, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 0, 3)"
1774,"(0, 1, 0)","(0, 1, 0)","(2, 1, 2)","(0, 1, 0)","(1, 0, 3)","(4, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1775,"(0, 1, 0)","(0, 1, 0)","(2, 1, 2)","(0, 1, 2)","(1, 0, 3)","(1, 0, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1776,"(0, 1, 0)","(0, 1, 0)","(2, 1, 2)","(0, 1, 0)","(1, 0, 3)","(4, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1777,"(0, 1, 0)","(0, 1, 0)","(2, 1, 2)","(2, 1, 2)","(3, 0, 2)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1778,"(0, 1, 0)","(0, 1, 0)","(2, 1, 2)","(2, 1, 2)","(1, 0, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1779,"(0, 1, 0)","(0, 1, 0)","(1, 0, 2)","(0, 1, 0)","(3, 0, 4)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1780,"(0, 1, 0)","(0, 1, 0)","(1, 0, 2)","(0, 1, 0)","(3, 0, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1781,"(0, 1, 0)","(0, 1, 0)","(1, 0, 2)","(0, 1, 2)","(4, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1782,"(0, 1, 0)","(0, 1, 0)","(1, 0, 2)","(0, 1, 2)","(3, 0, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1783,"(0, 1, 0)","(0, 1, 0)","(1, 0, 2)","(0, 1, 2)","(4, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1784,"(0, 1, 0)","(0, 1, 0)","(1, 0, 2)","(0, 1, 2)","(4, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1785,"(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(0, 1, 2)","(1, 0, 3)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1786,"(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(0, 1, 2)","(4, 0, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1787,"(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(0, 1, 2)","(1, 0, 3)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1788,"(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(0, 1, 2)","(3, 1, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1789,"(0, 1, 0)","(2, 1, 2)","(1, 0, 2)","(0, 1, 2)","(2, 1, 2)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1790,"(0, 1, 0)","(2, 1, 0)","(1, 0, 3)","(0, 1, 2)","(3, 1, 2)","(1, 0, 0)","(0, 1, 1)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1791,"(1, 1, 0)","(0, 1, 1)","(1, 0, 1)","(0, 1, 0)","(2, 1, 2)","(1, 0, 3)","(1, 1, 0)","(1, 1, 0)","(0, 1, 1)","(1, 1, 0)"
1792,"(0, 1, 0)","(0, 1, 0)","(1, 0, 2)","(0, 1, 2)","(0, 1, 0)","(1, 0, 3)","(0, 1, 1)","(0, 1, 0)","(0, 2, 3)","(0, 1, 0)"
1793,"(0, 1, 0)","(0, 1, 0)","(1, 0, 2)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1794,"(0, 1, 0)","(0, 1, 0)","(1, 0, 2)","(1, 1, 1)","(0, 1, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 2, 3)","(0, 1, 0)"
1795,"(0, 1, 0)","(0, 1, 0)","(1, 0, 1)","(1, 1, 1)","(0, 1, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1796,"(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 1)","(0, 1, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1797,"(1, 1, 0)","(0, 1, 0)","(1, 0, 1)","(0, 1, 2)","(0, 1, 0)","(1, 0, 0)","(0, 1, 0)","(2, 1, 2)","(0, 1, 0)","(2, 1, 2)"
1798,"(1, 1, 0)","(0, 1, 0)","(1, 0, 0)","(0, 1, 2)","(0, 1, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(2, 1, 2)"
1799,"(0, 1, 1)","(0, 1, 0)","(1, 0, 0)","(0, 1, 2)","(0, 1, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1800,"(0, 1, 1)","(0, 1, 0)","(1, 0, 0)","(0, 1, 2)","(0, 1, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1801,"(0, 1, 1)","(0, 1, 0)","(1, 0, 0)","(2, 1, 0)","(0, 1, 0)","(1, 0, 0)","(2, 1, 2)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1802,"(0, 1, 1)","(0, 1, 0)","(1, 0, 0)","(0, 1, 2)","(2, 1, 2)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1803,"(0, 1, 1)","(0, 1, 0)","(1, 0, 0)","(2, 1, 0)","(2, 1, 2)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1804,"(1, 1, 0)","(0, 1, 0)","(1, 0, 1)","(0, 1, 2)","(0, 1, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
