,BTC/USDT,ETH/USDT,XRP/USDT,LTC/USDT,LINK/USDT,DOGE/USDT,TRX/USDT,BCH/USDT,XMR/USDT,EOS/USDT
1240,"(0, 1, 0)","(1, 0, 2)","(1, 0, 0)","(1, 0, 0)","(2, 0, 0)","(2, 1, 0)","(2, 0, 0)","(1, 0, 2)","(1, 0, 0)","(1, 0, 0)"
1241,"(1, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 0, 2)","(1, 1, 1)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 2)","(2, 0, 2)"
1242,"(3, 1, 0)","(2, 0, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 0)","(1, 0, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 0)","(1, 0, 0)"
1243,"(3, 1, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 0)","(1, 0, 3)","(2, 0, 0)","(2, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
1244,"(3, 1, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 0)","(1, 0, 0)","(2, 0, 0)","(1, 0, 1)","(3, 0, 1)","(1, 0, 2)"
1245,"(3, 1, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 2)","(0, 0, 3)","(1, 0, 1)","(1, 0, 0)","(1, 0, 0)"
1246,"(3, 1, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 0)","(2, 0, 0)","(1, 0, 0)","(2, 0, 0)","(1, 0, 0)","(2, 0, 2)","(2, 0, 0)"
1247,"(3, 1, 0)","(1, 0, 0)","(1, 0, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 0)","(1, 0, 0)","(2, 0, 0)","(1, 0, 0)","(2, 0, 2)"
1248,"(3, 1, 0)","(2, 1, 3)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)","(2, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 3)"
1249,"(2, 1, 2)","(1, 1, 0)","(1, 0, 0)","(1, 0, 0)","(0, 1, 1)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)","(1, 0, 1)","(0, 1, 0)"
1250,"(3, 1, 0)","(1, 0, 1)","(1, 0, 0)","(1, 0, 0)","(2, 0, 0)","(1, 0, 0)","(2, 0, 2)","(2, 0, 0)","(2, 0, 1)","(1, 0, 0)"
1251,"(3, 1, 0)","(2, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 2)","(4, 0, 2)","(1, 0, 0)","(2, 0, 2)","(1, 0, 0)","(1, 0, 0)"
1252,"(0, 1, 0)","(2, 0, 0)","(1, 0, 0)","(1, 0, 0)","(3, 0, 3)","(2, 0, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 2)","(1, 0, 0)"
1253,"(0, 1, 0)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 2)","(1, 0, 0)","(1, 0, 0)","(3, 0, 2)"
1254,"(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(3, 0, 1)","(3, 0, 1)","(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 0)","(1, 0, 0)"
1255,"(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 0)","(1, 0, 0)","(1, 1, 0)","(1, 0, 1)","(1, 0, 0)","(2, 0, 1)","(1, 0, 0)"
1256,"(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 0)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(1, 0, 2)","(1, 0, 0)","(3, 0, 1)"
1257,"(0, 1, 0)","(2, 0, 2)","(1, 0, 0)","(2, 0, 1)","(0, 1, 0)","(2, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(0, 0, 1)"
1258,"(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(2, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
1259,"(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(3, 0, 0)","(1, 0, 0)","(1, 1, 1)","(2, 0, 0)","(2, 0, 1)","(1, 0, 1)"
1260,"(0, 1, 0)","(1, 0, 0)","(2, 0, 0)","(1, 0, 0)","(0, 1, 0)","(3, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
1261,"(0, 1, 0)","(2, 1, 2)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
1262,"(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(2, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 3)","(1, 0, 0)"
1263,"(0, 1, 0)","(1, 0, 0)","(1, 0, 2)","(0, 1, 0)","(1, 0, 0)","(2, 0, 1)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
1264,"(0, 1, 0)","(0, 1, 0)","(3, 0, 0)","(1, 1, 1)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 0)","(1, 0, 0)","(1, 0, 0)"
1265,"(0, 1, 0)","(1, 0, 2)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 2)","(1, 0, 0)"
